Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,13,222.4,38,61,1,1,23,35,100,13,12,0.6229508196721312,1.0,0.6571428571428571,0.44964028776978415,0.7600312256049961,1.0,0.9230769230769231
,,24,607.1,68,139,1,1,27,65,164,48,20,0.4892086330935252,1.0,0.4153846153846154,0.2701367155328611,0.6348644161593803,2.0,0.8333333333333334
,,22,484.1,102,180,1,1,31,60,236,17,15,0.5666666666666667,1.0,0.5166666666666667,0.48750258211113406,0.6944444444444445,0.7727272727272727,0.6818181818181818
,,34,803.6,148,233,2,2,94,151,392,24,27,0.6351931330472103,1.0,0.6225165562913907,0.4878048780487805,0.7525698964462003,0.7058823529411765,0.7941176470588235
,,31,760.0,107,180,1,1,71,130,286,33,40,0.5944444444444444,1.0,0.5461538461538461,0.3763157894736842,0.7135327635327635,1.064516129032258,1.2903225806451613
,,38,936.0,136,220,1,1,103,159,376,19,51,0.6181818181818182,1.0,0.6477987421383647,0.4017094017094017,0.755326853440061,0.5,1.3421052631578947
,,37,798.5,138,286,1,1,79,125,356,16,17,0.4825174825174825,1.0,0.632,0.445835942391985,0.7048391608391609,0.43243243243243246,0.4594594594594595
,,37,886.0,146,205,1,1,53,130,346,23,90,0.7121951219512195,1.0,0.4076923076923077,0.3905191873589165,0.7066291432145091,0.6216216216216216,2.4324324324324325
,,38,870.6,134,236,1,1,74,142,343,14,22,0.5677966101694916,1.0,0.5211267605633803,0.3939811624167241,0.6963077902442906,0.3684210526315789,0.5789473684210527
,,21,473.3,62,112,1,1,30,43,155,2,16,0.5535714285714286,1.0,0.6976744186046512,0.32748785125713076,0.7504152823920266,0.09523809523809523,0.7619047619047619
,,39,1206.8,260,415,1,1,137,185,658,21,19,0.6265060240963856,1.0,0.7405405405405405,0.5452436194895592,0.7890155215456419,0.5384615384615384,0.48717948717948717
,,34,543.0,85,106,1,1,15,29,186,8,15,0.8018867924528302,1.0,0.5172413793103449,0.3425414364640884,0.7730427239210583,0.23529411764705882,0.4411764705882353
,,13,343.0,74,121,1,1,57,75,206,2,11,0.6115702479338843,1.0,0.76,0.6005830903790087,0.7905234159779614,0.15384615384615385,0.8461538461538461
,,35,811.0,131,224,2,2,39,85,303,19,8,0.5848214285714286,1.0,0.4588235294117647,0.37361282367447596,0.6812149859943978,0.5428571428571428,0.22857142857142856
,,10,189.8,27,51,1,1,8,14,63,7,6,0.5294117647058824,1.0,0.5714285714285714,0.33192834562697576,0.7002801120448178,0.7,0.6
,,19,419.5,84,161,1,1,41,61,210,1,4,0.5217391304347826,1.0,0.6721311475409836,0.5005959475566151,0.7312900926585888,0.05263157894736842,0.21052631578947367
,,39,879.3,189,359,1,1,90,141,469,17,30,0.5264623955431755,1.0,0.6382978723404256,0.5333788240645969,0.7215867559612003,0.4358974358974359,0.7692307692307693
,,18,273.4,47,103,1,1,16,31,111,5,6,0.4563106796116505,1.0,0.5161290322580645,0.4059985369422093,0.6574799039565716,0.2777777777777778,0.3333333333333333
,,10,163.5,15,32,1,1,20,29,51,14,9,0.46875,1.0,0.6896551724137931,0.3119266055045872,0.7194683908045977,1.4,0.9
,,5,95.5,15,27,1,1,11,16,42,0,2,0.5555555555555556,1.0,0.6875,0.4397905759162304,0.7476851851851851,0.0,0.4
,,81,2845.0,467,847,1,1,213,270,1148,91,59,0.551357733175915,1.0,0.7888888888888889,0.40351493848857645,0.7800822073549346,1.123456790123457,0.7283950617283951
,,34,697.6,124,240,1,1,42,76,291,36,12,0.5166666666666667,1.0,0.5526315789473685,0.41714449541284404,0.689766081871345,1.0588235294117647,0.35294117647058826
,,13,136.2,16,33,1,1,11,13,44,6,4,0.48484848484848486,1.0,0.8461538461538461,0.32305433186490456,0.7770007770007771,0.46153846153846156,0.3076923076923077
,,78,1975.0,289,623,1,1,195,258,774,85,45,0.463884430176565,1.0,0.7558139534883721,0.3918987341772152,0.7398994612216457,1.0897435897435896,0.5769230769230769
,,6,203.0,34,65,1,1,16,28,85,9,10,0.5230769230769231,1.0,0.5714285714285714,0.4187192118226601,0.698168498168498,1.5,1.6666666666666667
,,38,643.5,119,179,1,1,71,95,310,19,15,0.664804469273743,1.0,0.7473684210526316,0.48174048174048173,0.8040576301087916,0.5,0.39473684210526316
,,24,515.1,81,131,1,1,38,71,201,21,7,0.6183206106870229,1.0,0.5352112676056338,0.39021549213744905,0.7178439594308855,0.875,0.2916666666666667
,,31,516.2,94,155,1,1,51,64,240,11,12,0.6064516129032258,1.0,0.796875,0.46493607129019754,0.801108870967742,0.3548387096774194,0.3870967741935484
,,47,790.9,103,189,1,1,39,75,246,17,15,0.544973544973545,1.0,0.52,0.3110380579087116,0.6883245149911817,0.3617021276595745,0.3191489361702128
,,77,1040.0,153,349,1,1,114,149,421,30,24,0.4383954154727794,1.0,0.7651006711409396,0.4048076923076923,0.7344986955379064,0.38961038961038963,0.3116883116883117
,,17,276.0,53,77,1,1,41,53,148,2,2,0.6883116883116883,1.0,0.7735849056603774,0.5362318840579711,0.8206321979906885,0.11764705882352941,0.11764705882352941
,,11,259.1,50,93,1,1,6,9,107,0,4,0.5376344086021505,1.0,0.6666666666666666,0.4129679660362794,0.7347670250896057,0.0,0.36363636363636365
,,27,405.9,55,102,1,1,37,47,148,22,15,0.5392156862745098,1.0,0.7872340425531915,0.3646218280364622,0.775483242942567,0.8148148148148148,0.5555555555555556
,,56,1507.3,306,552,1,1,165,284,778,29,54,0.5543478260869565,1.0,0.5809859154929577,0.5161547137265309,0.7117779138599714,0.5178571428571429,0.9642857142857143
,,32,702.4,110,172,1,1,50,113,271,18,23,0.6395348837209303,1.0,0.4424778761061947,0.3858200455580866,0.6940042532757084,0.5625,0.71875
