Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,9,380.0,82,181,1,3,83,101,248,39,6,0.4530386740331492,0.3333333333333333,0.8217821782178217,0.6526315789473685,0.5360513951947681,4.333333333333333,0.6666666666666666
,,4,145.5,25,44,6,14,7,16,63,16,2,0.5681818181818182,0.42857142857142855,0.4375,0.4329896907216495,0.47808441558441556,4.0,0.5
,,1,25.0,3,5,1,2,1,2,8,4,0,0.6,0.5,0.5,0.32,0.5333333333333333,4.0,0.0
,,62,1703.5,274,461,2,12,103,193,653,243,34,0.5943600867678959,0.16666666666666666,0.533678756476684,0.38332844144408573,0.43156850330374885,3.9193548387096775,0.5483870967741935
,,31,954.6,130,251,0,1,83,145,343,121,18,0.5179282868525896,0.0,0.5724137931034483,0.3593128011732663,0.363447359985346,3.903225806451613,0.5806451612903226
,,15,332.0,57,131,1,2,17,37,132,57,9,0.4351145038167939,0.5,0.4594594594594595,0.39759036144578314,0.4648579877587511,3.8,0.6
,,32,995.0,252,415,1,7,104,148,609,120,60,0.6072289156626506,0.14285714285714285,0.7027027027027027,0.6120603015075377,0.4842629204074987,3.75,1.875
,,79,2748.0,652,1184,0,4,414,582,1718,294,40,0.5506756756756757,0.0,0.711340206185567,0.6251819505094615,0.4206719606204142,3.721518987341772,0.5063291139240507
,,73,2125.3,413,682,0,0,214,329,1040,269,44,0.6055718475073314,0.0,0.6504559270516718,0.48934268103326584,0.41867592485300104,3.684931506849315,0.6027397260273972
,,66,1791.8,262,490,1,3,78,118,603,241,33,0.5346938775510204,0.3333333333333333,0.6610169491525424,0.33653309521151914,0.5096813866789653,3.6515151515151514,0.5
,,85,2664.0,266,549,0,0,140,217,672,307,54,0.48451730418943534,0.0,0.6451612903225806,0.25225225225225223,0.37655953150400534,3.611764705882353,0.6352941176470588
,,18,690.6,147,305,12,48,49,78,355,65,8,0.4819672131147541,0.25,0.6282051282051282,0.5140457573124819,0.4533907804399608,3.611111111111111,0.4444444444444444
,,79,2757.8,286,635,6,20,143,202,721,285,85,0.4503937007874016,0.3,0.7079207920792079,0.2614402784828486,0.48610483095553647,3.607594936708861,1.0759493670886076
,,39,1027.6,114,220,0,1,40,98,268,137,14,0.5181818181818182,0.0,0.40816326530612246,0.26080186843129627,0.3087816944959802,3.5128205128205128,0.358974358974359
,,14,497.0,86,140,0,0,82,158,254,49,11,0.6142857142857143,0.0,0.5189873417721519,0.5110663983903421,0.3777576853526221,3.5,0.7857142857142857
,,80,2921.0,255,480,0,3,99,234,609,277,138,0.53125,0.0,0.4230769230769231,0.20849024306744265,0.3181089743589744,3.4625,1.725
,,5,185.4,24,46,7,17,3,21,58,17,12,0.5217391304347826,0.4117647058823529,0.14285714285714285,0.3128371089536138,0.35878699305809275,3.4,2.4
,,10,421.4,72,124,0,0,45,83,189,34,8,0.5806451612903226,0.0,0.5421686746987951,0.44850498338870437,0.3742712786630393,3.4,0.8
,,6,177.6,29,54,0,2,36,39,94,20,6,0.5370370370370371,0.0,0.9230769230769231,0.5292792792792793,0.48670465337132,3.3333333333333335,1.0
,,70,2368.9,312,659,0,2,161,221,785,231,87,0.47344461305007585,0.0,0.7285067873303167,0.3313774325636371,0.4006504667934642,3.3,1.2428571428571429
,,10,376.0,76,157,0,1,64,96,216,33,2,0.4840764331210191,0.0,0.6666666666666666,0.574468085106383,0.38358103326256193,3.3,0.2
,,24,1021.0,218,412,0,7,158,232,593,79,15,0.529126213592233,0.0,0.6810344827586207,0.5808031341821743,0.40338689878361783,3.2916666666666665,0.625
,,31,903.6,172,247,1,10,91,123,436,102,26,0.6963562753036437,0.1,0.7398373983739838,0.482514386896857,0.5120645578925425,3.2903225806451615,0.8387096774193549
,,7,197.2,33,71,0,2,6,9,72,23,2,0.4647887323943662,0.0,0.6666666666666666,0.36511156186612576,0.3771517996870109,3.2857142857142856,0.2857142857142857
,,82,2984.0,322,573,0,0,298,421,942,269,27,0.5619546247818499,0.0,0.7078384798099763,0.3156836461126005,0.4232643681972754,3.2804878048780486,0.32926829268292684
,,81,2518.0,276,595,0,0,154,214,706,262,56,0.4638655462184874,0.0,0.719626168224299,0.28038125496425736,0.39449723814759546,3.234567901234568,0.691358024691358
