Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,10,26.0,1,1,1,1,0,2,3,0,2,1.0,1.0,0.0,0.11538461538461539,0.6666666666666666,0.0,0.2
,,3,9.0,1,1,0,0,0,0,2,0,1,1.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333
,,1,5.1,2,2,0,0,0,0,4,0,0,1.0,0.0,0.0,0.7843137254901962,0.3333333333333333,0.0,0.0
,,2,18.9,3,3,1,1,1,2,8,0,0,1.0,1.0,0.5,0.4232804232804233,0.8333333333333334,0.0,0.0
,,10,44.0,5,5,0,0,1,2,11,2,2,1.0,0.0,0.5,0.25,0.5,0.2,0.2
,,2,23.9,5,5,1,1,4,5,15,2,0,1.0,1.0,0.8,0.6276150627615064,0.9333333333333332,1.0,0.0
,,11,17.7,3,3,1,1,1,2,8,0,1,1.0,1.0,0.5,0.4519774011299435,0.8333333333333334,0.0,0.09090909090909091
,,14,45.5,6,6,0,0,3,8,15,0,0,1.0,0.0,0.375,0.32967032967032966,0.4583333333333333,0.0,0.0
,,1,10.9,2,2,0,0,0,0,4,0,1,1.0,0.0,0.0,0.36697247706422015,0.3333333333333333,0.0,1.0
,,2,41.7,10,11,0,0,7,15,27,0,0,0.9090909090909091,0.0,0.4666666666666667,0.6474820143884892,0.4585858585858586,0.0,0.0
,,5,87.1,13,15,0,0,4,4,30,2,1,0.8666666666666667,0.0,1.0,0.34443168771526983,0.6222222222222222,0.4,0.2
,,3,31.2,6,7,0,0,3,5,15,3,2,0.8571428571428571,0.0,0.6,0.4807692307692308,0.4857142857142857,1.0,0.6666666666666666
,,10,43.8,6,7,1,2,0,0,13,0,0,0.8571428571428571,0.5,0.0,0.29680365296803657,0.4523809523809524,0.0,0.0
,,6,183.8,47,55,0,0,31,41,125,3,6,0.8545454545454545,0.0,0.7560975609756098,0.6800870511425462,0.5368810051736881,0.5,1.0
,,10,180.3,36,43,0,1,13,28,85,8,4,0.8372093023255814,0.0,0.4642857142857143,0.47143649473100385,0.43383167220376523,0.8,0.4
,,6,90.4,15,18,0,0,3,6,33,6,2,0.8333333333333334,0.0,0.5,0.3650442477876106,0.4444444444444445,1.0,0.3333333333333333
,,33,581.0,93,112,0,0,12,25,198,15,22,0.8303571428571429,0.0,0.48,0.3407917383820998,0.4367857142857143,0.45454545454545453,0.6666666666666666
,,6,94.2,9,11,0,0,2,4,20,4,1,0.8181818181818182,0.0,0.5,0.21231422505307854,0.43939393939393945,0.6666666666666666,0.16666666666666666
,,4,75.3,9,11,0,0,3,3,21,4,3,0.8181818181818182,0.0,1.0,0.27888446215139445,0.6060606060606061,1.0,0.75
,,12,236.0,49,60,0,0,20,24,118,7,8,0.8166666666666667,0.0,0.8333333333333334,0.5,0.5499999999999999,0.5833333333333334,0.6666666666666666
,,10,138.3,30,37,0,0,6,12,66,1,4,0.8108108108108109,0.0,0.5,0.47722342733188716,0.43693693693693697,0.1,0.4
,,9,194.8,30,37,3,4,14,19,77,1,6,0.8108108108108109,0.75,0.7368421052631579,0.3952772073921971,0.7658843053579897,0.1111111111111111,0.6666666666666666
,,10,204.0,63,78,0,0,3,15,129,9,10,0.8076923076923077,0.0,0.2,0.6323529411764706,0.33589743589743587,0.9,1.0
,,20,303.4,46,57,0,0,36,49,128,22,9,0.8070175438596491,0.0,0.7346938775510204,0.42188529993408047,0.5139038071368899,1.1,0.45
,,12,210.0,29,36,0,0,31,55,89,5,7,0.8055555555555556,0.0,0.5636363636363636,0.4238095238095238,0.4563973063973064,0.4166666666666667,0.5833333333333334
,,22,578.6,110,137,0,0,45,77,265,32,11,0.8029197080291971,0.0,0.5844155844155844,0.4580020739716557,0.46244509748159385,1.4545454545454546,0.5
,,34,543.0,85,106,1,1,15,29,186,8,15,0.8018867924528302,1.0,0.5172413793103449,0.3425414364640884,0.7730427239210583,0.23529411764705882,0.4411764705882353
,,7,65.8,4,5,0,0,3,4,11,3,4,0.8,0.0,0.75,0.16717325227963525,0.5166666666666667,0.42857142857142855,0.5714285714285714
,,6,88.3,4,5,0,0,2,2,10,7,0,0.8,0.0,1.0,0.11325028312570781,0.6,1.1666666666666667,0.0
,,16,87.6,12,15,0,0,5,7,29,6,2,0.8,0.0,0.7142857142857143,0.3310502283105023,0.5047619047619047,0.375,0.125
,,17,359.6,78,98,0,0,60,84,216,8,10,0.7959183673469388,0.0,0.7142857142857143,0.6006674082313681,0.5034013605442177,0.47058823529411764,0.5882352941176471
,,9,246.7,54,68,0,1,26,33,134,17,8,0.7941176470588235,0.0,0.7878787878787878,0.543169841913255,0.5273321449792038,1.8888888888888888,0.8888888888888888
,,34,658.9,104,131,0,0,43,68,251,57,14,0.7938931297709924,0.0,0.6323529411764706,0.3809379268477766,0.47541535698248766,1.6764705882352942,0.4117647058823529
,,11,245.6,33,42,0,0,7,11,73,2,10,0.7857142857142857,0.0,0.6363636363636364,0.2972312703583062,0.474025974025974,0.18181818181818182,0.9090909090909091
,,15,98.1,22,28,1,4,3,10,48,4,2,0.7857142857142857,0.25,0.3,0.48929663608562696,0.4452380952380952,0.26666666666666666,0.13333333333333333
,,1,35.0,11,14,3,4,3,3,28,0,1,0.7857142857142857,0.75,1.0,0.8,0.8452380952380952,0.0,1.0
,,18,54.0,11,14,0,0,2,3,24,1,3,0.7857142857142857,0.0,0.6666666666666666,0.4444444444444444,0.48412698412698413,0.05555555555555555,0.16666666666666666
,,6,93.5,33,42,0,0,10,14,76,3,0,0.7857142857142857,0.0,0.7142857142857143,0.8128342245989305,0.5,0.5,0.0
,,34,551.0,84,107,0,0,29,38,197,41,13,0.7850467289719626,0.0,0.7631578947368421,0.35753176043557167,0.516068207902935,1.2058823529411764,0.38235294117647056
,,15,226.1,29,37,0,0,8,18,66,10,23,0.7837837837837838,0.0,0.4444444444444444,0.291906236178682,0.4094094094094094,0.6666666666666666,1.5333333333333334
,,27,607.0,119,152,0,0,50,82,288,20,8,0.7828947368421053,0.0,0.6097560975609756,0.4744645799011532,0.464216944801027,0.7407407407407407,0.2962962962962963
,,5,89.3,14,18,0,0,11,15,39,2,2,0.7777777777777778,0.0,0.7333333333333333,0.43673012318029114,0.5037037037037037,0.4,0.4
,,20,354.9,48,62,1,1,26,47,123,9,8,0.7741935483870968,1.0,0.5531914893617021,0.3465765004226543,0.7757950125829329,0.45,0.4
,,10,202.7,34,44,0,0,14,21,82,10,4,0.7727272727272727,0.0,0.6666666666666666,0.40453872718302913,0.47979797979797983,1.0,0.4
,,29,544.0,93,121,0,1,18,31,204,4,24,0.768595041322314,0.0,0.5806451612903226,0.375,0.44974673420421224,0.13793103448275862,0.8275862068965517
,,35,605.0,115,151,0,1,34,46,264,16,23,0.7615894039735099,0.0,0.7391304347826086,0.43636363636363634,0.5002399462520395,0.45714285714285713,0.6571428571428571
,,3,55.0,19,25,3,4,3,6,44,1,0,0.76,0.75,0.5,0.8,0.6699999999999999,0.3333333333333333,0.0
,,6,147.8,28,37,0,0,8,15,64,3,2,0.7567567567567568,0.0,0.5333333333333333,0.4330175913396481,0.4300300300300301,0.5,0.3333333333333333
,,43,697.4,143,189,0,1,34,52,322,82,11,0.7566137566137566,0.0,0.6538461538461539,0.46171494121020934,0.4701533034866368,1.9069767441860466,0.2558139534883721
