Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,37,663.4,108,213,50,112,56,51,312,3,34,0.5070422535211268,0.44642857142857145,1.0980392156862746,0.47030449201085317,0.683836680211991,0.08108108108108109,0.918918918918919
,,35,646.4,97,204,60,137,18,18,272,3,20,0.47549019607843135,0.43795620437956206,1.0,0.42079207920792083,0.6378154668193311,0.08571428571428572,0.5714285714285714
,,17,182.4,24,54,12,35,8,8,68,10,3,0.4444444444444444,0.34285714285714286,1.0,0.37280701754385964,0.5957671957671957,0.5882352941176471,0.17647058823529413
,,7,114.1,22,44,12,29,2,2,58,1,0,0.5,0.41379310344827586,1.0,0.5083260297984225,0.6379310344827586,0.14285714285714285,0.0
,,10,178.7,21,47,10,23,3,3,55,3,5,0.44680851063829785,0.43478260869565216,1.0,0.30777839955232233,0.6271970397779834,0.3,0.5
,,4,92.8,21,46,11,28,2,2,55,1,0,0.45652173913043476,0.39285714285714285,1.0,0.5926724137931034,0.6164596273291926,0.25,0.0
,,4,74.0,8,24,1,9,2,2,19,1,3,0.3333333333333333,0.1111111111111111,1.0,0.25675675675675674,0.48148148148148145,0.25,0.75
,,4,78.0,11,20,4,11,3,3,29,2,2,0.55,0.36363636363636365,1.0,0.3717948717948718,0.6378787878787878,0.5,0.5
,,4,71.0,11,27,4,14,2,2,28,1,3,0.4074074074074074,0.2857142857142857,1.0,0.39436619718309857,0.564373897707231,0.25,0.75
,,4,110.0,18,37,8,17,4,4,48,3,0,0.4864864864864865,0.47058823529411764,1.0,0.43636363636363634,0.6523582405935348,0.75,0.0
,,4,114.0,28,53,10,21,2,2,68,0,6,0.5283018867924528,0.47619047619047616,1.0,0.5964912280701754,0.6681641209943097,0.0,1.5
,,59,1641.1,170,382,102,254,32,32,474,15,32,0.44502617801047123,0.4015748031496063,1.0,0.2888306623606118,0.6155336603866925,0.2542372881355932,0.5423728813559322
,,7,234.3,22,54,14,40,6,6,64,1,4,0.4074074074074074,0.35,1.0,0.27315407597097735,0.5858024691358025,0.14285714285714285,0.5714285714285714
,,38,960.3,92,237,68,170,27,27,279,0,30,0.3881856540084388,0.4,1.0,0.29053420805998126,0.5960618846694796,0.0,0.7894736842105263
,,10,118.7,20,47,15,37,7,7,62,1,3,0.425531914893617,0.40540540540540543,1.0,0.5223251895534962,0.6103124400996741,0.1,0.3
,,4,156.3,32,68,7,19,9,9,80,1,9,0.47058823529411764,0.3684210526315789,1.0,0.5118362124120281,0.6130030959752322,0.25,2.25
,,6,172.7,31,53,10,21,5,5,77,0,6,0.5849056603773585,0.47619047619047616,1.0,0.445859872611465,0.6870320455226114,0.0,1.0
,,13,191.9,21,47,8,23,4,4,54,1,11,0.44680851063829785,0.34782608695652173,1.0,0.28139656070870245,0.5982115325316065,0.07692307692307693,0.8461538461538461
,,13,91.6,8,17,0,2,5,5,21,0,4,0.47058823529411764,0.0,1.0,0.2292576419213974,0.4901960784313726,0.0,0.3076923076923077
,,10,182.5,10,32,7,24,4,4,31,1,15,0.3125,0.2916666666666667,1.0,0.16986301369863013,0.5347222222222222,0.1,1.5
,,11,212.5,14,40,7,25,18,18,53,0,10,0.35,0.28,1.0,0.24941176470588236,0.5433333333333333,0.0,0.9090909090909091
,,10,192.0,30,63,9,29,14,14,83,1,9,0.47619047619047616,0.3103448275862069,1.0,0.4322916666666667,0.595511767925561,0.1,0.9
,,13,183.1,22,56,5,26,9,9,58,0,6,0.39285714285714285,0.19230769230769232,1.0,0.31676679410158387,0.5283882783882784,0.0,0.46153846153846156
