Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,2,23.9,5,5,1,1,4,5,15,2,0,1.0,1.0,0.8,0.6276150627615064,0.9333333333333332,1.0,0.0
,,9,114.5,11,19,1,1,2,2,25,5,2,0.5789473684210527,1.0,1.0,0.2183406113537118,0.8596491228070176,0.5555555555555556,0.2222222222222222
,,14,215.9,44,61,1,1,26,31,115,2,5,0.7213114754098361,1.0,0.8387096774193549,0.5326540064844836,0.853340384276397,0.14285714285714285,0.35714285714285715
,,26,542.8,64,95,1,1,23,26,152,5,8,0.6736842105263158,1.0,0.8846153846153846,0.2800294767870302,0.8527665317139,0.19230769230769232,0.3076923076923077
,,1,35.0,11,14,3,4,3,3,28,0,1,0.7857142857142857,0.75,1.0,0.8,0.8452380952380952,0.0,1.0
,,18,91.0,21,40,1,1,3,3,46,1,1,0.525,1.0,1.0,0.5054945054945055,0.8416666666666667,0.05555555555555555,0.05555555555555555
,,13,371.6,75,107,1,1,42,52,193,22,6,0.7009345794392523,1.0,0.8076923076923077,0.5193756727664155,0.8362089623771866,1.6923076923076923,0.46153846153846156
,,2,18.9,3,3,1,1,1,2,8,0,0,1.0,1.0,0.5,0.4232804232804233,0.8333333333333334,0.0,0.0
,,11,17.7,3,3,1,1,1,2,8,0,1,1.0,1.0,0.5,0.4519774011299435,0.8333333333333334,0.0,0.09090909090909091
,,30,552.0,83,121,1,1,67,83,234,21,12,0.6859504132231405,1.0,0.8072289156626506,0.42391304347826086,0.8310597762952637,0.7,0.4
,,2,56.0,15,32,4,4,8,8,42,0,2,0.46875,1.0,1.0,0.75,0.8229166666666666,0.0,1.0
,,10,162.7,27,46,1,1,14,16,69,5,8,0.5869565217391305,1.0,0.875,0.42409342347879536,0.8206521739130435,0.5,0.8
,,17,276.0,53,77,1,1,41,53,148,2,2,0.6883116883116883,1.0,0.7735849056603774,0.5362318840579711,0.8206321979906885,0.11764705882352941,0.11764705882352941
,,23,449.8,118,195,1,1,71,83,308,22,20,0.6051282051282051,1.0,0.8554216867469879,0.6847487772343264,0.820183297291731,0.9565217391304348,0.8695652173913043
,,8,94.0,11,15,1,1,13,18,36,6,3,0.7333333333333333,1.0,0.7222222222222222,0.3829787234042553,0.8185185185185185,0.75,0.375
,,6,102.4,12,22,1,1,19,21,44,1,3,0.5454545454545454,1.0,0.9047619047619048,0.4296875,0.8167388167388167,0.16666666666666666,0.5
