Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,30,987.9,317,647,86,209,296,344,1016,3,36,0.4899536321483771,0.41148325358851673,0.8604651162790697,1.0284441745115902,0.5873006673386545,0.1,1.2
,,36,1472.8,465,995,178,431,403,468,1511,1,75,0.46733668341708545,0.41299303944315546,0.8611111111111112,1.0259369907658882,0.5804802779904507,0.027777777777777776,2.0833333333333335
,,16,103.6,11,25,0,0,4,7,106,6,3,0.44,0.0,0.5714285714285714,1.0231660231660231,0.33714285714285713,0.375,0.1875
,,29,1026.0,336,725,122,346,218,249,1012,5,76,0.463448275862069,0.35260115606936415,0.8755020080321285,0.98635477582846,0.5638504799878539,0.1724137931034483,2.6206896551724137
,,78,2866.7,843,1909,378,1028,754,858,2818,58,158,0.4415924567836564,0.36770428015564205,0.8787878787878788,0.9830118254438902,0.5626948719090591,0.7435897435897436,2.0256410256410255
,,32,1099.7,372,787,92,274,238,289,1074,5,62,0.4726810673443456,0.3357664233576642,0.8235294117647058,0.9766299899972719,0.5439923008222386,0.15625,1.9375
,,38,1543.9,475,1040,98,288,456,537,1504,17,80,0.4567307692307692,0.3402777777777778,0.8491620111731844,0.9741563572770257,0.5487235193939105,0.4473684210526316,2.1052631578947367
,,36,1352.1,484,949,148,364,201,249,1317,18,72,0.5100105374077977,0.4065934065934066,0.8072289156626506,0.9740403816285779,0.574610953221285,0.5,2.0
,,36,1391.1,445,931,108,283,351,426,1349,23,81,0.47798066595059074,0.38162544169611307,0.823943661971831,0.9697361800014378,0.5611832565395116,0.6388888888888888,2.25
,,63,1916.9,685,1238,89,293,398,629,1857,66,61,0.5533117932148627,0.3037542662116041,0.6327503974562798,0.968751630236319,0.49660548562758217,1.0476190476190477,0.9682539682539683
,,25,1028.9,303,627,154,363,235,259,995,2,58,0.48325358851674644,0.42424242424242425,0.9073359073359073,0.9670521916609971,0.604943973365026,0.08,2.32
,,7,263.6,83,157,33,64,55,58,254,2,7,0.5286624203821656,0.515625,0.9482758620689655,0.9635811836115326,0.6641877608170438,0.2857142857142857,1.0
,,34,1376.7,422,696,61,156,419,499,1324,5,63,0.6063218390804598,0.391025641025641,0.8396793587174348,0.9617200552044745,0.6123422796078453,0.14705882352941177,1.8529411764705883
,,5,194.5,59,152,13,49,56,70,187,2,12,0.3881578947368421,0.2653061224489796,0.8,0.961439588688946,0.48448800572860723,0.4,2.4
,,59,1771.7,608,1063,44,149,435,516,1695,36,50,0.5719661335841957,0.2953020134228188,0.8430232558139535,0.9567082463170965,0.5700971342736559,0.6101694915254238,0.847457627118644
,,28,1115.0,354,758,75,265,275,341,1058,17,55,0.46701846965699206,0.2830188679245283,0.8064516129032258,0.9488789237668162,0.518829650161582,0.6071428571428571,1.9642857142857142
,,44,1782.0,617,1220,139,381,314,353,1687,0,101,0.5057377049180328,0.3648293963254593,0.8895184135977338,0.94668911335578,0.586695171613742,0.0,2.2954545454545454
,,68,2482.6,672,1514,299,843,692,800,2335,60,125,0.4438573315719947,0.35468564650059314,0.865,0.9405462015628777,0.5545143260241959,0.8823529411764706,1.838235294117647
,,24,425.1,138,272,26,78,97,115,399,9,15,0.5073529411764706,0.3333333333333333,0.8434782608695652,0.9386026817219477,0.5613881784597897,0.375,0.625
,,40,1169.7,377,777,135,293,206,236,1097,10,30,0.4851994851994852,0.46075085324232085,0.8728813559322034,0.9378473112763956,0.606277231458003,0.25,0.75
,,32,1176.2,369,743,129,279,235,310,1102,4,80,0.49663526244952894,0.46236559139784944,0.7580645161290323,0.9369154905628294,0.5723551233254702,0.125,2.5
,,4,95.4,31,62,10,24,17,19,89,0,2,0.5,0.4166666666666667,0.8947368421052632,0.9329140461215932,0.6038011695906432,0.0,0.5
,,41,1309.8,414,799,50,161,343,423,1221,32,25,0.5181476846057572,0.3105590062111801,0.8108747044917257,0.9322033898305085,0.5465271317695544,0.7804878048780488,0.6097560975609756
,,44,1563.2,455,988,164,421,383,443,1457,1,59,0.4605263157894737,0.38954869358669836,0.8645598194130926,0.9320624360286591,0.5715449429297549,0.022727272727272728,1.3409090909090908
,,21,451.1,131,280,60,131,97,119,419,4,32,0.46785714285714286,0.4580152671755725,0.8151260504201681,0.9288406118377299,0.5803328201509611,0.19047619047619047,1.5238095238095237
,,41,1661.5,538,1136,186,470,292,313,1542,5,66,0.4735915492957746,0.39574468085106385,0.9329073482428115,0.9280770388203431,0.6007478594632166,0.12195121951219512,1.6097560975609757
,,18,612.0,166,377,77,189,153,176,562,2,22,0.4403183023872679,0.4074074074074074,0.8693181818181818,0.9183006535947712,0.5723479638709524,0.1111111111111111,1.2222222222222223
,,51,1401.0,466,999,143,447,211,281,1286,5,49,0.46646646646646645,0.319910514541387,0.7508896797153025,0.9179157744468237,0.512422220241052,0.09803921568627451,0.9607843137254902
,,81,2801.7,824,1941,200,583,710,840,2558,31,132,0.4245234415249871,0.34305317324185247,0.8452380952380952,0.9130170967626798,0.5376049033349782,0.38271604938271603,1.6296296296296295
,,37,1318.3,362,816,111,313,366,417,1201,0,64,0.44362745098039214,0.3546325878594249,0.8776978417266187,0.9110217704619586,0.5586526268554786,0.0,1.7297297297297298
,,58,1270.5,442,828,63,176,210,281,1157,22,44,0.533816425120773,0.35795454545454547,0.7473309608540926,0.9106650924832743,0.5463673104764704,0.3793103448275862,0.7586206896551724
,,23,799.3,212,411,67,182,232,270,725,37,54,0.5158150851581509,0.36813186813186816,0.8592592592592593,0.9070436632053047,0.5810687375164262,1.608695652173913,2.347826086956522
,,16,616.0,206,412,51,130,93,125,556,14,26,0.5,0.3923076923076923,0.744,0.9025974025974026,0.5454358974358974,0.875,1.625
,,45,1826.5,558,1220,201,557,331,381,1648,4,124,0.45737704918032784,0.3608617594254937,0.868766404199475,0.9022721051190802,0.5623350709350988,0.08888888888888889,2.7555555555555555
,,41,1767.4,537,1214,202,604,308,353,1588,9,104,0.44233937397034595,0.3344370860927152,0.8725212464589235,0.8984949643544189,0.5497659021739949,0.21951219512195122,2.5365853658536586
,,41,1467.8,410,727,100,204,397,458,1317,28,95,0.5639614855570839,0.49019607843137253,0.8668122270742358,0.897261207248944,0.6403232636875641,0.6829268292682927,2.317073170731707
,,41,1691.5,526,1095,138,419,319,424,1509,20,110,0.480365296803653,0.32935560859188545,0.7523584905660378,0.8921075968075672,0.520693131987192,0.4878048780487805,2.682926829268293
,,45,1817.2,539,1132,223,532,315,344,1620,9,116,0.47614840989399293,0.4191729323308271,0.9156976744186046,0.8914813999559762,0.6036730055478082,0.2,2.577777777777778
,,38,1551.5,493,991,147,360,241,293,1374,22,72,0.49747729566094856,0.4083333333333333,0.8225255972696246,0.8855945858846278,0.5761120754213022,0.5789473684210527,1.894736842105263
,,17,621.0,175,321,2,14,197,223,549,10,29,0.5451713395638629,0.14285714285714285,0.8834080717488789,0.8840579710144928,0.5238121847232948,0.5882352941176471,1.7058823529411764
,,12,272.8,81,166,19,58,59,73,240,1,20,0.4879518072289157,0.3275862068965517,0.8082191780821918,0.8797653958944281,0.541252397402553,0.08333333333333333,1.6666666666666667
,,79,2700.0,805,1598,402,886,363,400,2375,15,169,0.5037546933667084,0.45372460496614,0.9075,0.8796296296296297,0.6216597661109494,0.189873417721519,2.1392405063291138
,,45,1757.8,452,959,134,346,508,585,1546,20,95,0.47132429614181437,0.3872832369942196,0.8683760683760684,0.8795084765047219,0.5756612005040341,0.4444444444444444,2.111111111111111
,,41,1719.0,512,1138,210,509,277,291,1511,2,83,0.44991212653778556,0.412573673870334,0.9518900343642611,0.878999418266434,0.6047919449241269,0.04878048780487805,2.024390243902439
,,34,1227.7,379,783,90,278,228,266,1076,20,81,0.4840357598978289,0.3237410071942446,0.8571428571428571,0.8764356113056936,0.5549732080783102,0.5882352941176471,2.3823529411764706
,,12,441.7,125,243,35,80,102,113,387,12,13,0.51440329218107,0.4375,0.9026548672566371,0.8761602897894499,0.6181860531459024,1.0,1.0833333333333333
,,65,1978.8,650,1209,70,170,360,440,1730,51,54,0.5376344086021505,0.4117647058823529,0.8181818181818182,0.8742672326662624,0.5891936442221072,0.7846153846153846,0.8307692307692308
,,34,1303.0,363,738,147,346,266,296,1139,6,66,0.491869918699187,0.42485549132947975,0.8986486486486487,0.874136607828089,0.6051246862257719,0.17647058823529413,1.9411764705882353
,,40,1460.6,520,962,56,151,180,231,1276,52,80,0.5405405405405406,0.3708609271523179,0.7792207792207793,0.8736135834588525,0.5635407489712126,1.3,2.0
,,38,1468.7,395,886,149,398,341,412,1282,5,56,0.445823927765237,0.3743718592964824,0.8276699029126213,0.8728807789201334,0.5492885633247803,0.13157894736842105,1.4736842105263157
,,31,1212.3,312,670,100,278,331,426,1055,12,67,0.46567164179104475,0.3597122302158273,0.7769953051643192,0.8702466386208034,0.534126392390397,0.3870967741935484,2.161290322580645
,,32,1238.7,375,851,169,481,157,192,1076,19,92,0.4406580493537015,0.35135135135135137,0.8177083333333334,0.8686526196819245,0.5365725780127955,0.59375,2.875
,,29,1130.5,374,725,54,170,180,239,982,4,61,0.5158620689655172,0.3176470588235294,0.7531380753138075,0.8686421937195931,0.5288824010342847,0.13793103448275862,2.103448275862069
,,28,1033.3,323,654,43,125,207,311,896,27,48,0.4938837920489297,0.344,0.6655948553054662,0.8671247459595471,0.501159549118132,0.9642857142857143,1.7142857142857142
,,6,214.6,64,128,16,44,42,64,186,3,7,0.5,0.36363636363636365,0.65625,0.8667287977632805,0.506628787878788,0.5,1.1666666666666667
,,9,277.3,90,161,13,40,47,81,240,8,6,0.5590062111801242,0.325,0.5802469135802469,0.8654886404615939,0.48808437492012374,0.8888888888888888,0.6666666666666666
,,34,608.5,196,476,51,201,83,122,526,45,28,0.4117647058823529,0.2537313432835821,0.680327868852459,0.8644207066557108,0.448607972672798,1.3235294117647058,0.8235294117647058
,,30,1054.0,287,613,86,209,251,281,911,18,43,0.46818923327895595,0.41148325358851673,0.8932384341637011,0.864326375711575,0.5909703070103912,0.6,1.4333333333333333
,,80,3276.6,978,2173,180,518,696,819,2832,30,147,0.4500690289921767,0.3474903474903475,0.8498168498168498,0.864310565830434,0.549125408766458,0.375,1.8375
,,28,916.0,303,554,101,232,84,108,791,14,54,0.5469314079422383,0.4353448275862069,0.7777777777777778,0.8635371179039302,0.5866846711020743,0.5,1.9285714285714286
,,43,1801.8,569,1155,135,372,280,305,1553,4,86,0.49264069264069266,0.3629032258064516,0.9180327868852459,0.8619158619158619,0.5911922351107967,0.09302325581395349,2.0
,,2,67.3,21,35,6,16,10,13,58,3,6,0.6,0.375,0.7692307692307693,0.861812778603269,0.5814102564102565,1.5,3.0
