Season,Player,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL,FG%,3P%,FT%,PTS/Min,Overall Shooting Accuracy,BLK/G,STL/G
,,10,323.8,60,175,19,63,28,54,167,2,43,0.34285714285714286,0.30158730158730157,0.5185185185185185,0.515750463248919,0.38765432098765434,0.2,4.3
,,10,324.2,36,83,9,24,35,44,116,2,42,0.43373493975903615,0.375,0.7954545454545454,0.3578038247995065,0.5347298284045272,0.2,4.2
,,10,352.0,73,177,21,67,23,38,190,2,41,0.4124293785310734,0.31343283582089554,0.6052631578947368,0.5397727272727273,0.4437084574155686,0.2,4.1
,,4,159.5,39,92,7,31,30,44,115,4,16,0.42391304347826086,0.22580645161290322,0.6818181818181818,0.7210031347962382,0.4438458923031153,1.0,4.0
,,27,891.4,168,330,26,76,120,157,482,4,107,0.509090909090909,0.34210526315789475,0.7643312101910829,0.5407224590531748,0.5385091274799622,0.14814814814814814,3.962962962962963
,,20,548.4,123,218,27,66,53,71,326,5,79,0.5642201834862385,0.4090909090909091,0.7464788732394366,0.5944566010211525,0.5732633219388613,0.25,3.95
,,31,819.0,110,252,13,59,91,130,324,13,120,0.4365079365079365,0.22033898305084745,0.7,0.3956043956043956,0.4522823065195946,0.41935483870967744,3.870967741935484
,,13,384.2,65,153,13,45,69,84,212,0,49,0.42483660130718953,0.28888888888888886,0.8214285714285714,0.551795939614784,0.5117180205415499,0.0,3.769230769230769
,,7,199.4,27,57,17,31,13,17,84,0,26,0.47368421052631576,0.5483870967741935,0.7647058823529411,0.42126379137412234,0.5955923965511501,0.0,3.7142857142857144
,,10,318.6,35,83,21,52,26,31,117,0,37,0.42168674698795183,0.40384615384615385,0.8387096774193549,0.36723163841807904,0.5547475260844869,0.0,3.7
,,10,334.8,82,176,17,48,34,49,215,0,37,0.4659090909090909,0.3541666666666667,0.6938775510204082,0.6421744324970131,0.5046511028653886,0.0,3.7
,,27,960.4,147,371,26,114,74,114,396,4,97,0.39622641509433965,0.22807017543859648,0.6491228070175439,0.41232819658475633,0.42447313251682667,0.14814814814814814,3.5925925925925926
,,40,1365.0,169,388,98,231,95,106,531,0,143,0.43556701030927836,0.42424242424242425,0.8962264150943396,0.389010989010989,0.5853452832153474,0.0,3.575
,,14,506.9,140,242,17,53,82,108,379,0,50,0.5785123966942148,0.32075471698113206,0.7592592592592593,0.747681988557901,0.5528421243115355,0.0,3.5714285714285716
,,41,1362.6,243,577,97,265,150,195,733,3,146,0.42114384748700173,0.3660377358490566,0.7692307692307693,0.5379421693820637,0.5188041175222758,0.07317073170731707,3.5609756097560976
,,9,401.0,71,188,21,62,40,67,203,5,32,0.3776595744680851,0.3387096774193548,0.5970149253731343,0.5062344139650873,0.4377947257535248,0.5555555555555556,3.5555555555555554
,,34,1203.0,251,531,67,170,109,144,678,0,119,0.4726930320150659,0.3941176470588235,0.7569444444444444,0.5635910224438903,0.5412517078394447,0.0,3.5
,,18,679.7,152,340,48,150,102,131,454,2,63,0.4470588235294118,0.32,0.7786259541984732,0.6679417390025011,0.5152282592426284,0.1111111111111111,3.5
,,12,433.2,83,181,26,70,47,62,239,1,42,0.4585635359116022,0.37142857142857144,0.7580645161290323,0.5517082179132041,0.5293522078230687,0.08333333333333333,3.5
,,32,1094.8,221,461,92,241,112,133,646,1,111,0.4793926247288503,0.3817427385892116,0.8421052631578947,0.5900621118012422,0.5677468754919855,0.03125,3.46875
,,24,746.0,132,276,24,82,81,123,369,2,83,0.4782608695652174,0.2926829268292683,0.6585365853658537,0.49463806970509383,0.4764934605867797,0.08333333333333333,3.4583333333333335
,,42,1302.0,270,535,51,173,142,186,733,10,144,0.5046728971962616,0.2947976878612717,0.7634408602150538,0.5629800307219662,0.520970481757529,0.23809523809523808,3.4285714285714284
,,10,335.5,36,80,7,24,53,75,132,1,34,0.45,0.2916666666666667,0.7066666666666667,0.39344262295081966,0.48277777777777775,0.1,3.4
,,33,880.0,189,346,0,1,90,118,468,21,112,0.546242774566474,0.0,0.7627118644067796,0.5318181818181819,0.43631821299108453,0.6363636363636364,3.393939393939394
,,13,458.5,67,187,13,63,54,82,201,5,44,0.3582887700534759,0.20634920634920634,0.6585365853658537,0.43838604143947657,0.4077248539228453,0.38461538461538464,3.3846153846153846
,,37,1334.5,298,611,46,147,174,219,816,3,125,0.4877250409165303,0.3129251700680272,0.7945205479452054,0.6114649681528662,0.531723586309921,0.08108108108108109,3.3783783783783785
,,3,104.9,19,49,12,35,20,24,70,2,10,0.3877551020408163,0.34285714285714286,0.8333333333333334,0.667302192564347,0.5213151927437641,0.6666666666666666,3.3333333333333335
,,15,545.2,148,351,35,125,90,121,421,9,50,0.42165242165242167,0.28,0.743801652892562,0.7721936903888481,0.4818180248483279,0.6,3.3333333333333335
,,3,106.4,24,48,7,21,12,16,67,2,10,0.5,0.3333333333333333,0.75,0.6296992481203008,0.5277777777777778,0.6666666666666666,3.3333333333333335
,,43,1576.2,176,449,81,256,83,108,516,69,143,0.39198218262806234,0.31640625,0.7685185185185185,0.32736962314427104,0.49230231704886024,1.6046511627906976,3.3255813953488373
